date	team1	FT	HT	team2
10/31/2020	Alaves	1-Jan	Jan-00	Barcelona
1/9/2021	Granada	0-4	0-3	Barcelona
5/16/2021	Barcelona	2-Jan	1-Jan	Celta
2/7/2021	Betis	3-Feb	Jan-00	Barcelona
3/6/2021	Osasuna	0-2	0-1	Barcelona
4/10/2021	Real Madrid	1-Feb	Feb-00	Barcelona
12/13/2020	Barcelona	Jan-00	0-0	Levante
9/27/2020	Barcelona	Apr-00	Apr-00	Villarreal
10/1/2020	Celta	0-3	0-1	Barcelona
4/29/2021	Barcelona	2-Jan	Jan-00	Granada
5/8/2021	Barcelona	0-0	0-0	Ath Madrid
5/11/2021	Levante	3-Mar	0-2	Barcelona
12/22/2020	Valladolid	0-3	0-2	Barcelona
12/5/2020	Cadiz	1-Feb	Jan-00	Barcelona
1/6/2021	Ath Bilbao	3-Feb	2-Jan	Barcelona
2/21/2021	Barcelona	1-Jan	Jan-00	Cadiz
2/24/2021	Barcelona	Mar-00	0-0	Elche
4/25/2021	Villarreal	2-Jan	2-Jan	Barcelona
11/7/2020	Barcelona	2-May	1-Jan	Betis
