match_id	date	home_team	away_team	home_score	away_score	match_week
3773386	10/31/2020	Deportivo AlavÃ©s	Barcelona	1	1	8
3773565	1/9/2021	Granada	Barcelona	0	4	18
3773457	5/16/2021	Barcelona	Celta Vigo	1	2	37
3773631	2/7/2021	Real Betis	Barcelona	2	3	22
3773665	3/6/2021	Osasuna	Barcelona	0	2	26
3773497	4/10/2021	Real Madrid	Barcelona	2	1	30
3773660	12/13/2020	Barcelona	Levante UD	1	0	13
3773593	9/27/2020	Barcelona	Villarreal	4	0	3
3773466	10/1/2020	Celta Vigo	Barcelona	0	3	4
3773586	4/29/2021	Barcelona	Granada	1	2	33
3773372	5/8/2021	Barcelona	AtlÃ©tico Madrid	0	0	35
3773387	5/11/2021	Levante UD	Barcelona	3	3	36
3773571	12/22/2020	Real Valladolid	Barcelona	0	3	15
3773428	12/5/2020	CÃ¡diz	Barcelona	2	1	12
3764661	1/6/2021	Athletic Club	Barcelona	2	3	2
3773415	2/21/2021	Barcelona	CÃ¡diz	1	1	24
3764440	2/24/2021	Barcelona	Elche	3	0	1
3773689	4/25/2021	Villarreal	Barcelona	1	2	32
3773477	11/7/2020	Barcelona	Real Betis	5	2	9
